Aadorp
Aagtekerke
Aalden
Aalsmeer
Aalst 
Aalst 
Aalten
Aardenburg
Aarlanderveen
Aarle-Rixtel
Abbega (Abbegea)
Abbekerk
Abbenbroek
Abbenes
Abcoude
Achlum
Achterberg
Achterdrempt
Achterveld
Achthuizen
Achtmaal
Acquoy
Adorp
Aduard
Aerdt
Afferden 
Afferden 
Agodorp-Burgemeester Beinsdorp
Akersloot
Akkrum
Albergen
Alblasserdam
Aldeboarn
Alem
Almelo
Almen
Almere
Almere-Haven
Almere-Hout
Almere-Stad/Almere-Buiten
Almkerk
Alphen 
Alphen 
Alphen aan den Rijn
Altena
Alteveer 
Alteveer 
Altforst
Altweerterheide
Alverna
Ameide
America
Amerongen
Amersfoort
Ammerstol
Ammerzoden
Andel
Andelst/Herveld-Noord
Andijk
Angeren
Angerlo/Beinum
Anjum (Eanjum)
Ankeveen
Anloo
Anna Jacobapolder
Anna-Paulowna
Annen
Apeldoorn
Appelscha
Appeltern
Appingedam
Arcen
Arensgenhout
Arkel
Arnemuiden
Arnhem-Zuid
Arum
Asch
Asenray
Asperen
Assen
Assendelft-Kern
Assendelft-Mariahoeve
Assendelft-Zuideinde
Asten
Augustinusga (Stynsgea)
Austerlitz
Avenhorn/De Goorn
Axel
Aijen
Azewijn
Baak
Baambrugge
Baard
Baarland
Baarle-Nassau/Baarle-Hertog
Baarlo 
Baarn
Babberich-Kern
Babberich-Oost
Baexem
Baflo
Bakel
Bakhuizen (Bakhuzen)
Bakkeveen (Bakkefean)
Balgoy
Balk
Balkbrug
Ballum
Baneheide
Banholt
Bant
Barchem
Barendrecht
Barger-Compascuum
Barneveld
Barsingerhorn
Batenburg
Bath
Bathmen
Beckum
Bedum
Beegden
Beek 
Beek 
Beek en Donk
Beekbergen
Beekbergen-Hulsthorstweg
Beers
Beerta
Beerzerveld
Beesd
Beesel
Beetgum (Bitgum)
Beetgumermolen (Bitgummole)
Beets 
Beetsterzwaag (Beetstersweach)
Beilen
Bekkenkamp
Belfeld
Bellingwolde-Heemhof
Bellingwolde-Kern
Bellingwolde-Noord
Beltrum
Bemelen
Bemmel
Beneden-Leeuwen
Benedenvaart
Bennebroek
Bennekom
Benschop
Bentelo
Benthuizen
Berg 
Berg 
Berg en Dal 
Bergambacht
Bergen 
Bergen 
Bergen -Buerweg
Bergen aan Zee
Bergen aan Zee-Russenduin
Bergen op Zoom
Bergen-Siebengewaldseweg 
Bergentheim
Bergeijk/Loo
Bergharen
Berghem 
Bergum (Burgum)
Beringe
Berkel/Rodenrijs/Bergschenhoek
Berkel-Enschot
Berkenwoude-Oost
Berkenwoude-West
Berkhout
Berlicum
Berlikum (Berltsum)
Best
Bestmen
Beugen
Beukbergen
Beuningen 
Beuningen 
Beusichem
Biddinghuizen
Bierum
Biervliet
Biezenmortel
Biggekerke
Bikbergen
Bilthoven/De Bilt
Bingelrade
Birdaard (Burdaard)
Blaaksedijk
Bladel
Blauhuis (Blauhûs)
Bleiswijk
Blerick
Bleskensgraaf
Blitterswijck
Blokzijl
Bocholtz
Bocholtzerheide
Bodegraven
Boekel 
Boekelo
Boekelo-West
Boekend 
Boelenslaan (Boelensloane)
Boerakker
Boerdonk
Boerhaar
Boijl
Bokhoven
Boksum
Bolsward (Boalsert)
Bontebok
Bontebrug
Boornbergum (Boarnburgum)
Borculo
Borger
Borgharen
Borkel
Born/Buchten/Holtum
Borne 
Bornerbroek
Borssele
Boschhoven 
Boskamp
Boskant 
Boskoop-Kern
Boskoop-Vereenigde polder
Bosschenhoofd
Boukoul
Bourtange
Boven-Hardinxveld
Bovenkarspel/Grootebroek/Lutjebroek
Boven-Leeuwen
Bovensmilde
Boxmeer/Sambeek
Boxtel
Bozum (Boazum)
Braamt
Brakel 
Brantgum
Breda
Bredevoort
Breedenbroek
Breedeweg
Breezand
Breskens
Breskens-Noord-Oost
Breugel
Breukelen
Breukelen-West
Brielle
Britsum
Broek in Waterland
Broekhuizen 
Broekhuizenvorst
Broekland 
Broeksterwoude (Broeksterwâld)
Bronkhorst
Brouwershaven
Bruchem
Bruchterveld
Bruinehaar
Bruinisse
Brummen
Budel
Budel-Dorplein
Budel-Schoot-Noord
Budel-Schoot-Zuid
Buggenum
Buinen
Buitenkaag
Buitenpost (Bûtenpost)
Buitenvaart
Bunde-Noord
Bunnik
Bunschoten/Spakenburg
Buren (Bueren) 
Buren-Noord 
Buren-Zuid 
Burgerbrug
Burgerveen
Burgwerd (Burchwert)
Burum
Bussloo
Buurmalsen
Buurse
Blije (Blija)
Blijham
Cabauw
Cadier en Keer
Cadzand
Cadzand-Bad
Calfven
Callantsoog
Camperduin
Castenray
Casteren
Castricum
Capelle aan den ijssel
Catrijp
Chaam
Clinge
Coevorden
